NAV_IDENT	TYPE	CTRY	NAV_KEY_CD	STATE_PROV	NAME	ICAO	WAC	FREQ	USAGE_CD	CHAN	RCC	FREQ_PROT	POWER	NAV_RANGE	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	SLAVED_VAR	MAG_VAR	ELEV	DME_WGS_LAT	DME_WGS_DLAT	DME_WGS_LONG	DME_WGS_DLONG	DME_ELEV	ARPT_ICAO	OS	CYCLE_DATE
MEN	4	TU	1		MENDERES	LT	0342	117900M	L	126X	L		U	U	WGE	WGE	N38174600	38.296111	E027093300	27.159167		E003438 0106	00407					U	LTBJ	I	200410
MER	4	CO	1		MERCADERES	SK	0890	116300M	B	110X	HA		1000	100	WGE	WGE	N01471800	1.788333	W077090300	-77.150833	W00100798	W002597 0106	03800					U	SKMS	I	200603
MER	5	SY	1		ALEPPO	OS	0341	365000K	T		H		U	U	WGE	WGE	N36101812	36.171700	E037181651	37.304586		E004173 0106	U					U	OSAP	I	200506
MER	7	AS	1		MERIMBULA	YM	1470	395000K	B	124X	MH		49	20	WGE	WGE	S36545131	-36.914253	E149535796	149.899433		E013180 0106	00090	S36545231	-36.914531	E149535736	149.899267	00090	YMER	I	200603
MES	4	GR	1		MESTA	LG	0342	117600M	B	123X	HA	100/50	U	U	EUR	WGE	N38150600	38.251667	E025542000	25.905556	E00230798	E003347 0106	01165					U	LGHI	I	200205
MES	4	NO	1		MESNALI	EN	0104	114400M	R	091X	HA		U	U	WGE	WGE	N61055930	61.099806	E010383400	10.642778	W00100195	E001094 0106	02317					U		I	200406
MET	3	FR	1		METZ	LF	0230		B	017X	HA	040/25	25	50	WGE	WGE	N49040100	49.066944	E006074580	6.129389	W00100798	E000056 0106	00663					U	LFSF	I	200511
MEV	2	SF	1		BRONKHORSTSPRUIT	FA	1300	114300M	B	090X	HA		50	50	WGE	WGE	S25472735	-25.790931	E028334081	28.561336		W017254 0106	04928					U		I	199908
MEX	4	MX	1		MEXICO	MM	0643	115600M	B	103X	HA		200	U	WGE	WGE	N19262162	19.439339	W099040042	-99.066783	E00800798	E005587 0106	07316					U	MMMX	I	200503
MEY	5	US	1	19	MAPLETON	KZ	0307	335000K	L		MH		25	U	WGE	WGE	N42104996	42.180544	W095474102	-95.794728		E003391 0106	01116					U	MEY	I	200204
MEZ	5	SY	1		MEZZE	OS	0426	358000K	B		MH		U	U	WGE	WGE	N33290000	33.483333	E036140000	36.233333		E003537 0106	U					U	OSDI	I	200205
MF	1	CM	1		MAMFE	FC	0815	115100M	B		HA		200	U	WGE	WGE	N05422049	5.705692	E009181421	9.303947	W00500798	W002163 0106	00153					U		I	199910
MF	5	CM	1		MAMFE	FC	0815	279000K	B		H		50	U	WGE	WGE	N05422600	5.707222	E009180160	9.300444		W002163 0106	00059					U		I	200108
MF	5	PK	1		MUZAFFARABAD	OP	0431	207000K	B		H		100	50	WGE	WGE	N34203200	34.342222	E073302420	73.506722		E002131 0106	02705					U	OPMF	I	200602
MF	5	RS	1		YAKUTSK	UE	0124	334000K	T		H		U	80	U	WGE	N62080000	62.133333	E129502400	129.840000		W015463 0806	U					U	UEEE	I	200610
MF	5	RS	2		LARIONOVO	UU	0154	478000K	B		HH		U	80	U	WGE	N56020000	56.033333	E039380000	39.633333		E010174 0106	U					U		I	199903
MF	5	TZ	1		MAFIA	HT	1031	353000K	T		MH		U	50	ARS	WGE	S07540722	-7.902005	E039400318	39.667551		W002571 0106	00060					U	HTMA	I	200513
MF	5	US	1	39	MANNS	KZ	0309	372000K	T		MH		U	U	WGE	WGE	N40455786	40.766072	W082264197	-82.444992		W007108 0106	U					U	KMFD	I	200204
MF	5	US	2	48	MISSI	KM	0522	388000K	T		H		U	U	WGE	WGE	N26151386	26.253850	W098183736	-98.310378		E005325 0106	U					U	KMFE	I	200204
MF	5	US	3	41	PUMIE	KZ	0304	373000K	T		MH		U	U	WGE	WGE	N42270320	42.450889	W122544820	-122.913389		E016089 0106	U					U	KMFR	I	200313
MF	5	ZA	1		MFUWE	FL	1153	401000K	B		MH		U	180	ARF	WGE	S13161350	-13.270418	E031545397	31.914993		W004394 0106	U					U	FLMF	I	200408
MFD	2	US	1	39	MANSFIELD	KZ	0309	108800M	L	025X	L		U	U	WGE	WGE	N40520698	40.868606	W082352747	-82.590964	W00300188	W007054 0106	01210					U	4I9	I	200204
MFD	5	AS	1		MANSFIELD	YM	1470	284000K	B		MH		U	45	WGE	WGE	S37025000	-37.047222	E146082300	146.139722		E011520 0106	U					U		I	200203
MFE	4	US	1	48	MC ALLEN	KZ	0522	117200M	B	119X	HA		U	U	WGE	WGE	N26102595	26.173875	W098142683	-98.240786	E00901288	E005305 0106	00100					U	KMFE	I	200313
MFI	5	US	1	55	MARSHFIELD	KZ	0265	391000K	T		MH		25	U	WGE	WGE	N44382716	44.640878	W090111567	-90.187686		W001265 0106	01277					U	MFI	I	200204
MFS	5	US	1	48	HORSESHOE BAY RESORT	KZ	0469	403000K	T		MH		U	U	WGE	WGE	N30312369	30.523247	W098212809	-98.357803		E005340 0106	01117					U	4XS7	I	200204
MG	4	MA	1		PHILIBERT TSIRANANA	FM	1156	112100M	B	058X	HA		50	U	WGE	WGE	S15392700	-15.657500	E046202640	46.340667		W011020 0106	00087					U	FMNM	I	200310
MG	5	CA	1		WEST ARM	CY	0060	327000K	L		MH		U	U	WGE	WGE	N69060700	69.101944	W105070000	-105.116667		E012216 0106	00090					U	CYCB	I	200402
MG	5	FP	1		TOTEGEGIE	NT	1247	341000K	T		H		U	100	ENW	WGE	S23052540	-23.090389	W134523170	-134.875472		E014256 0106	U					U	NTGJ	I	200509
MG	5	GP	1		MARIE GALANTE	TT	0705	376000K	L		H		150	50	WGE	WGE	N15521110	15.869750	W061161510	-61.270861		W014337 0106	00016					U	TFFM	I	200204
MG	5	ID	1		MELANGGUANE	WA	0855	215000K	B		H		50	60	WGE	WGE	N04002400	4.006667	E126403600	126.676667		E000478 0806	00003					U	WAMN	I	200610
MG	5	MG	1		MANDALGOBI	ZM	0286	455000K	T		MH		U	U	U	WGE	N45443768	45.743800	E106155611	106.265586		W003375 0106	U					U	ZMMG	I	200506
MG	5	NC	1		MAGENTA	NF	1238	394000K	T		MH		U	25	WGE	WGE	S22161150	-22.269861	E166282310	166.473083		E012260 0106	U					U	NWWM	I	200501
MG	5	SI	1		LJUBLJANA	LJ	0252	296000K	T		MH		U	U	WGE	WGE	N46102363	46.173231	E014332140	14.555944		E002188 0106	01063					U	LJLJ	I	200204
MG	5	US	1	01	MARRA	KZ	0409	245000K	T		MH		U	U	WGE	WGE	N32184180	32.311611	W086303813	-86.510592		W002171 0106	U					U	KMGM	I	200306
MG	5	US	2	36	OTIMS	KZ	0310	353000K	T		MH		U	15	WGE	WGE	N41264254	41.445149	W074172754	-74.290984		W013156 0106	00378					U	MGJ	I	200204
MG	5	ZA	1		MONGU	FL	1152	391000K	H		MH		U	U	WGE	WGE	S15130000	-15.216667	E023090000	23.150000		W005582 0806	U					U	FLMG	I	200610
MGA	4	NC	1		OUERE	NF	1238	113000M	B	077X	HA		U	U	WGE	WGE	S22185540	-22.315389	E166282340	166.473167	E01201104	E012267 0106	-0008					U	NWWM	I	200503
MGA	4	NU	1		MANAGUA	MH	0710	112100M	B	058X	HA	200/45	U	U	WGE	WGE	N12082297	12.139714	W086102715	-86.174208		E000398 0106	00194					U	MNMG	I	200405
MGA	4	SA	1		MAGALA	OB	0547	116300M	B	110X	HA		U	200	WGE	WGE	N26172000	26.288889	E047122500	47.206944	E00100798	E002344 0106	01568					U		I	200502
MGA	4	SP	1		MALAGA	LE	0347	112000M	B	057X	HA		200	U	WGE	WGE	N36485152	36.814311	W004221027	-4.369519	W00380798	W002185 0106	03396	N36485168	36.814356	W004221004	-4.369456	03396	LEMG	I	200204
MGB	5	GM	1		MONCHENGLADBACH	ED	0230	377000K	T		MH		U	15	WGE	WGE	N51133836	51.227322	E006301948	6.505411		E000038 0106	00125					U	EDLN	I	200204
MGD	5	AS	1		MANINGRIDA	YB	1109	401000K	B		MH		U	35	WGE	WGE	S12034600	-12.062778	E134135400	134.231667		E004006 0106	00123					U	YMGD	I	200511
MGD	5	BL	1		MAGDALENA	SL	1137	365000K	L		H		500	100	PRP	WGE	S13154370	-13.262139	W064043006	-64.075017		W009554 0106	U					U	SLMG	I	200506
MGD	9	GM	1		MAGDEBURG	ED	0170		T	101Y	T	025/10	U	U	WGE	WGE	N52043767	52.077131	E011375124	11.630900		E001387 0106	00302					U	EDBM	I	200302
MGL	5	PO	1		PONTA DELGADA	LP	0350	371000K	B		HH		U	200	WGE	WGE	N37442900	37.741389	W025350200	-25.583889		W010080 0106	U					U	LPPD	I	200513
MGM	2	US	1	01	MONTGOMERY	KZ	0409	112100M	B	058X	HA		U	U	WGE	WGE	N32132022	32.222283	W086191103	-86.319731	E00300165	W002246 0106	00270					U	08A	I	200607
MGN	4	CO	1		MAGANGUE	SK	0770	114100M	B	088X	HA		1000	100	WGE	WGE	N09171469	9.287414	W074504989	-74.847192	W00500798	W005552 0106	00164					U	SKMG	I	200204
MGR	4	RS	1		MAGNITOGORSK	US	0164	114100M	B	088X	L		U	U	U	WGE	N53241200	53.403333	E058452400	58.756667	E01101104	E011370 0106	01401					U	USCM	I	200610
MGR	4	US	1	13	MOULTRIE	KZ	0466	108800M	L	025X	L		U	U	WGE	WGE	N31045617	31.082269	W083481522	-83.804228	W00200185	W004019 0106	00290					U	MGR	I	200602
MGR	5	AM	1		MEGRI	UD	0339	787000K	B		H		U	50	WGE	WGE	N38562000	38.938889	E046205000	46.347222		E005007 0106	U					U		I	200312
MGR	5	GR	1		MEGARA	LG	0343	405000K	T		MH		U	75	WGE	WGE	N37585640	37.982333	E023212620	23.357278		E003145 0106	U					U	LGMG	I	200511
MGV	5	BK	1		MCGOVERN	LQ	0252	375500K	L		H		U	50	WGE	WGE	N44511219	44.853386	E018450198	18.750550		E003056 0106	U					U	LQMG	I	200410
MGW	2	US	1	54	MORGANTOWN	KZ	0358	111600M	B	053X	L		U	U	WGE	WGE	N39332410	39.556694	W079513742	-79.860394	W00500192	W008510 0106	02340					U	4G7	I	200204
MH	5	CW	1		MANIHIKI	NZ	1088	380000K	B		H		50	100	WGE	WGE	S10224680	-10.379667	W161000900	-161.002500		E010398 0106	U					U		I	200401
MH	5	FP	1		MANIHI	NT	1123	284500K	T		H		U	100	WGE	WGE	S14255800	-14.432778	W146034400	-146.062222		E011553 0106	00010					U	NTGI	I	200205
MH	5	ID	1		MEULABOH	WI	0800	200000K	B		H		U	U	WGE	WGE	N04024766	4.046572	E096150135	96.250375		W000559 0806	00010					U	WITC	I	200610
MH	5	NO	1		MEHAMN	EN	0051	353000K	T		MH		U	U	WGE	WGE	N71020390	71.034417	E027494720	27.829778		E011594 0706	U					U		I	200609
MH	5	RS	1		MIKHAYLOVSK	US	0156	825000K	B		HH		U	80	U	WGE	N56270000	56.450000	E059080000	59.133333		E013397 0106	U					U		I	199903
MH	5	RS	2		MIKHAYLOVSKY	US	0239	1045000K	B		HH		U	80	U	WGE	N51510000	51.850000	E079420000	79.700000		E008025 0106	U					U		I	200105
MH	5	SF	1		MAFIKENG	FA	1300	305000K	B		H		100	U	WGE	WGE	S25442915	-25.741431	E025342998	25.574994		W016382 0106	U					U	FAMM	I	200204
MH	5	TH	1		MAE HONG SON	VT	0677	384000K	B		H		U	U	WGE	WGE	N19175584	19.298844	E097583059	97.975164		W000449 0106	00929					U	VTCH	I	200204
MH	7	PP	1		MOUNT HAGEN	AY	0988	1689000K	B	097X	MH		45	40	WGE	WGE	S05501632	-5.837867	E144183072	144.308533		E005149 0106	05425					U	AYMH	I	200507
MHA	5	US	1	55	MANITOWISH	KZ	0265	364000K	T		MH		25	U	WGE	WGE	N46072276	46.122989	W089525771	-89.882697		W002031 0106	01610					U	D25	I	200204
MHD	9	GM	1		MONCHENGLADBACH	ED	0230		T	072X	T	025/10	U	U	WGE	WGE	N51140567	51.234908	E006293109	6.491969		E000035 0106	00159					U	EDLN	I	200304
MHE	4	US	1	46	MITCHELL	KZ	0307	109200M	L	029X	L		U	U	WGE	WGE	N43463728	43.777022	W098021523	-98.037564	E00700188	E005189 0106	01301	N43463780	43.777167	W098021440	-98.037333	01325	MHE	I	200204
MHF	4	US	1	48	TRINITY	KZ	0468	113600M	T	083X	L		U	U	WGE	WGE	N29324684	29.546343	W094445105	-94.747513	E00701292	E003319 0106	00038					U	KGLS	I	200410
MHI	5	ID	1		MASALEMBO	WA	0979	275000K	B		H		U	U	WGE	WGE	S03350000	-3.583333	E114260000	114.433333		E001190 0806	00027					U		I	200610
MHK	4	US	1	20	MANHATTAN	KZ	0360	110200M	L	039X	T		U	U	WGE	WGE	N39084359	39.145442	W096400740	-96.668722	E00600594	E004266 0106	01044					U	KMHK	I	200501
MHL	5	EC	1		MACHALA	SE	0951	250000K	B		H		U	U	WGE	WGE	S03160700	-3.268611	W079575000	-79.963889		W000048 0106	00013					U	SEMH	I	200212
MHM	5	US	1	02	MINCHUMINA	PA	0118	227000K	L		H		U	U	WGE	WGE	N63530203	63.883897	W152185944	-152.316511		E020133 0106	00684					U	PAMH	I	200601
MHN	4	SP	1		MENORCA	LE	0345	112600M	B	073X	HA		200	40	WGE	WGE	N39514865	39.863514	E004130190	4.217194	W00100798	W000013 0106	00325	N39514875	39.863542	E004130120	4.217000	00325	LEMH	I	200204
MHP	5	US	1	13	METTER	KZ	0409	432000K	T		MH		25	U	WGE	WGE	N32222063	32.372398	W082050243	-82.084009		W005308 0106	00193					U	MHP	I	200511
MHS	4	TH	1		MAE HONG SON	VT	0677	115500M	B	102X	HA		50	50	WGE	WGE	N19191073	19.319647	E097544350	97.912083	E00000798	W000448 0106	00929					U	VTCH	I	200204
MHT	4	US	1	33	MANCHESTER	KZ	0310	114400M	L	091X	L		U	U	WGE	WGE	N42520672	42.868533	W071221031	-71.369531	W01500192	W015239 0106	00469					U	ASH	I	200402
MHU	5	AS	1		MCARTHUR RIVER MINE	YB	1220	368000K	B		H		U	50	WGE	WGE	S16264600	-16.446111	E136044100	136.078056		E004525 0106	00131					U	YMHU	I	200511
MHV	1	GM	1		MONCHENGLADBACH	ED	0230	109800M	T		HA	040/15	U	40	WGE	WGE	N51141428	51.237300	E006292488	6.490244	W00100103	E000035 0106	00156					U	EDLN	I	200306
MHV	4	EC	1		MACHALA	SE	0951	112100M	B	058X	HA		U	U	WGE	WGE	S03174200	-3.295000	W079563900	-79.944167	E00100798	W000052 0106	00026					U	SEMH	I	200312
MI	5	FJ	1		MOMI	NF	1213	364000K	B		MH		U	50	WGE	WGE	S17540000	-17.900000	E177193200	177.325556		E012177 0306	U					U	NFFN	I	200605
MI	5	ID	1		MALI	WA	1100	320000K	B		H		U	U	WGE	WGE	S08080970	-8.136028	E124353268	124.592411		E002150 0106	00010					U	WATM	I	200411
MI	5	JA	1		OMIYA	RJ	0389	228000K	B		MH		25	100	WGE	WGE	N35550619	35.918386	E139365089	139.614136		W007015 0106	U					U		I	199809
MI	5	NZ	1		MOSGIEL	NZ	1570	358000K	T		MH		25	40	WGE	WGE	S45521698	-45.871383	E170191255	170.320153		E024490 0106	U					U	NZDN	I	200204
MI	5	PK	1		MIANWALI	OP	0431	240000K	B		HH		U	U	IND	WGE	N32335860	32.566278	E071335819	71.566165		E001529 0106	U					U	OPMI	I	200209
MI	5	RS	1		MIKHAYLOVKA	UW	0164	770000K	B		HH		U	80	U	WGE	N55040000	55.066667	E057040000	57.066667		E012367 0106	U					U		I	200605
MI	5	SI	1		MARIBOR	LJ	0252	355000K	L		H		75	U	WGE	WGE	N46274591	46.462753	E015421102	15.703061		E002345 0106	00847					U		I	200304
MI	5	US	2	12	KEYES	KZ	0525	248000K	T		MH		U	U	WGE	WGE	N25472647	25.790686	W080113914	-80.194206		W005318 0106	U					U	KMIA	I	200204
MIA	4	AS	1		MILDURA	YM	1457	113700M	B	084X	HA		40	50	WGE	WGE	S34133600	-34.226667	E142050900	142.085833	E00901104	E009253 0106	00230					U	YMIA	I	200413
MIA	4	BM	1		MANDALAY	VY	0556	116300M	B	110X	HA		50	100	WGE	WGE	N21423940	21.710944	E095582910	95.974750	W00101104	W000427 0106	00300					U	VYMD	I	200413
MIA	4	RP	1		MANILA	RP	0735	113800M	B	085X	HA		100	50	WGE	WGE	N14302870	14.507972	E121011825	121.021736	E00000798	W001183 0106	00060					U	RPLL	I	200306
MIA	5	AS	1		MILDURA	YM	1457	272000K	B		HH		U	85	WGE	WGE	S34145200	-34.247778	E142042600	142.073889		E009253 0106	U					U	YMIA	I	200204
MIA	5	BM	1		MANDALAY	VY	0556	259000K	B		H		U	50	WGE	WGE	N21412140	21.689278	E095585910	95.983083		W000428 0106	U					U	VYMD	I	200306
MIA	5	SP	1		MELILLA	LE	0421	292000K	B		H		250	50	WGE	WGE	N35182808	35.307800	W002571986	-2.955517		W001510 0106	00381					U	GEHM	I	200508
MIB	3	US	1	38	DEERING	KZ	0218		B	096X	HA		U	U	WGE	WGE	N48245535	48.415375	W101215798	-101.366106	E01000188	E007541 0106	01668					U	KMIB	I	200204
MIC	1	GM	1		MICHAELSDORF	ED	0170	112200M	B		HA	060/50	U	60	WGE	WGE	N54181966	54.305461	E011001867	11.005186	E00000798	E001251 0106	00119					U		I	199910
MID	4	MX	1		MERIDA	MM	0588	117700M	B	124X	HA		100	U	WGE	WGE	N20561697	20.938047	W089392240	-89.656222	E00300498	E001177 0106	00038					U	MMMD	I	200503
MID	4	UK	1		MIDHURST	EG	0230	114000M	B	087X	HA	060/50	U	100	WGE	WGE	N51031400	51.053889	W000373000	-0.625000	W00400199	W002239 0106	00200					U		I	200205
MIE	4	US	1	18	MUNCIE	KZ	0308	114400M	L	091X	L		U	U	WGE	WGE	N40141426	40.237294	W085233853	-85.394036	W00300188	W004380 0106	00940					U	KMIE	I	200312
MII	5	US	1	48	CADDO MILLS	KZ	0407	316000K	T		MH		25	U	WGE	WGE	N33022542	33.040396	W096145492	-96.248589		E004194 0106	00541					U	46TS	I	200204
MIJ	3	US	1	49	MICHAEL	KZ	0305		B	079X	T		U	U	WGE	WGE	N40112976	40.191599	W112551980	-112.922168	E01500185	E013048 0106	04372					U	KDPG	I	200313
MIK	3	GR	1		MIKRA	LG	0322		B	121X	T	150/25	U	25	WGE	WGE	N40272900	40.458056	E022593000	22.991667		E003248 0106	00022					U	LGTS	I	200413
MIL	4	GR	1		MILOS	LG	0343	113500M	B	082X	HA	150/50	U	U	WGE	WGE	N36445106	36.747517	E024311002	24.519450	E00000798	E003166 0106	00012					U		I	200511
MIL	4	ID	1		DOMINIQUE EDWARD OSOK	WA	0976	117100M	B	118X	HA		U	U	WGE	WGE	S00534640	-0.896222	E131172322	131.289783		E002051 0706	00010					U	WA1A	I	200609
MIN	5	CE	1		MINNERIYA	VC	0796	290000K	B		H		100	U	KAN	WGE	N08030095	8.050264	E080590716	80.985322		W002289 0106	U					U	VC12	I	200405
MIO	5	PO	1		MONTIJO	LP	0347	322000K	T		MH		U	100	WGE	WGE	N38423476	38.709656	W009023561	-9.043225		W003570 0106	00046					U	LPMT	I	200204
MIP	2	US	1	42	MILTON	KZ	0310	109200M	B	029X	L		U	U	WGE	WGE	N41012426	41.023406	W076395509	-76.665303	W00900288	W011352 0106	01000					U	N13	I	200306
MIQ	4	VE	1		MAIQUETIA	SV	0771	114800M	B	095X	HA		100	U	WGE	WGE	N10363426	10.609517	W066592290	-66.989694	W01000798	W011125 0806	00235					U	SVMI	I	200610
MIQ	5	GM	1		MIKE	ED	0231	426500K	B		MH		U	25	WGE	WGE	N48341281	48.570225	E011355101	11.597503		E001388 0106	U					U		I	200508
MIQ	5	VE	1		MAIQUETIA	SV	0771	292000K	B		H		1000	300	WGE	WGE	N10363910	10.610861	W066590330	-66.984250		W011108 0306	00235					U	SVMI	I	200605
MIS	2	JA	1		MISAWA	RJ	0292	115400M	B	101X	HA		100	100	WGE	WGE	N40421376	40.703822	E141225199	141.381108	W00801088	W008239 0106	00142					U	RJSM	I	200204
MIS	4	LY	1		MISURATA	HL	0423	117100M	B	118X	HA		U	U	WGE	WGE	N32190000	32.316667	E015040000	15.066667	E00100798	E001449 0106	00060					U	HL76	I	200501
MIS	5	IR	1		MASJED SOLEIMAN	OI	0444	391000K	B		HH		U	U	WGE	WGE	N31554580	31.929389	E049193800	49.327222		E003190 0106	U					U		I	200007
MIS	5	PP	1		MISIMA	AY	1095	218000K	B		MH		45	65	WGE	WGE	S10411746	-10.688183	E152500534	152.834817		E007429 0106	U					U	AYMM	I	200507
MIT	3	JA	1		MISHIMA	RJ	0388		B	043X	HA		5000	100	WGE	WGE	N34461800	34.771667	E131081700	131.138056	W00701104	W007104 0106	00652					U		I	200413
MIU	4	NI	1		MAIDUGURI	DN	0785	113700M	B	084X	HA		U	U	WGE	WGE	N11531739	11.888164	E013065997	13.116658		W000270 0106	01102					U	DNMA	I	200512
MIW	5	US	1	19	MARSHALLTOWN	KZ	0308	239000K	T		MH		25	U	WGE	WGE	N42063575	42.109931	W092550102	-92.916950		E001203 0106	00974					U		O	200607
MJ	5	FR	1		MARSEILLE/PROVENCE	LF	0320	406000K	L		MH		25	40	WGE	WGE	N43262100	43.439167	E005130300	5.217500		E000078 0106	U					U		I	200309
MJ	5	MA	1		MANANJARY	FM	1278	329000K	B		MH		25	U	TAN	WGE	S21120436	-21.201212	E048215932	48.366479		W018191 0106	U					U	FMSM	I	200206
MJ	5	PK	1		MOENJODARO	OP	0550	304000K	B		H		500	50	WGE	WGE	N27195148	27.330967	E068082777	68.141047		E000515 0106	00211					U	OPMJ	I	200204
MJD	5	US	1	28	PICAYUNE	KZ	0467	276000K	L		MH		U	U	WGE	WGE	N30294093	30.494703	W089391131	-89.653142		E000109 0106	00054					U	KMJD	O	200604
MJE	4	JA	1		MIYAKEJIMA	RJ	0389	109000M	B	027X	HA		200	100	WGE	WGE	N34070851	34.119031	E139295445	139.498458	W00500798	W006248 0106	00144					U	RJTQ	I	200204
MJF	3	US	1	48	ARVILLA	KZ	0407		B	033X	T		U	U	WGE	WGE	N33035857	33.066269	W096034103	-96.061397	E00501093	E004124 0106	00540					U	GVT	I	200601
MJL	5	CI	1		MEJILLONES	SC	1258	240000K	B		H		1000	150	WGE	WGE	S23063300	-23.109167	W070263500	-70.443056		W001288 0106	U					U		I	200205
MJM	5	AS	1		MANJIMUP	YM	1461	257000K	B		HH		U	35	WGE	WGE	S34152900	-34.258056	E116071700	116.121389		W002426 0106	U					U	YMJM	I	200506
MJQ	5	US	1	27	JACKSON	KZ	0307	353000K	T		MH		25	U	WGE	WGE	N43384985	43.647180	W094590997	-94.986102		E002532 0106	01480					U	MJQ	I	200204
MJV	4	SP	1		PALMA DE MALLORCA	LE	0346	113300M	B	080X	HA		300	40	WGE	WGE	N39260667	39.435186	E002452986	2.758294	W00100798	W000225 0106	00505	N39260669	39.435192	E002452922	2.758117	00505	LESJ	I	200512
MJZ	1	AR	1		MARCOS JUAREZ	SA	1435	114700M	B		HA		U	185	WGE	WGE	S32411600	-32.687778	W062093900	-62.160833	W00300798	W004412 0106	00361					U	SAOM	I	200205
MK	4	AS	1		MACKAY	YB	1235	112700M	B	074X	HA		U	U	WGE	WGE	S21102200	-21.172778	E149111400	149.187222	E00800798	E008409 0106	00035					U	YBMK	I	200204
MK	5	AS	1		MACKAY	YB	1235	308000K	B		HH		U	75	WGE	WGE	S21094400	-21.162222	E149111100	149.186389		E008407 0106	00019					U	YBMK	I	200204
MK	5	BM	1		MYITKYINA	VY	0555	275000K	B		HH		U	125	WGE	WGE	N25231450	25.387361	E097212220	97.356167		W000443 0106	U					U	VYMK	I	200306
MK	5	CF	1		MAKABANA	FC	0936	276000K	B		MH		25	U	ARF	WGE	S03280850	-3.469027	E012375817	12.632824		W003465 0106	U					U	FCPA	I	200211
MK	5	ET	1		MAKALE	HA	0688	256000K	B		H		100	100	WGE	WGE	N13283040	13.475111	E039311820	39.521722		E002039 0106	07403					U	HAMK	I	200610
MK	5	FP	1		MAKEMO	NT	1207	383000K	T		H		U	100	WGE	WGE	S16352500	-16.590278	W143390500	-143.651389		E012317 0106	00082					U	NTGM	I	200204
MK	5	ID	1		MATAK	WI	0860	329000K	B		H		U	40	WGE	WGE	N03205400	3.348333	E106174200	106.295000		E000214 0806	00010					U	WIOM	I	200610
MK	5	ID	2		PONGTIKU	WA	0978	401000K	B		H		U	U	WGE	WGE	S03023974	-3.044372	E119490749	119.818747		E001279 0106	02707					U	WAWT	I	200410
MK	5	KZ	1		KHODZHATUGAY	UT	0328	605000K	B		H		U	U	U	WGE	N42020000	42.033333	E068120000	68.200000		E005153 0106	U					U		I	200007
MK	5	NI	1		MAKURDI	DN	0815	364000K	L		MH		U	U	MIN	WGE	N07430138	7.717049	E008355745	8.599291		W002008 0106	U					U	DNMK	I	200205
MK	5	RS	1		MALKA	UH	0194	345000K	B		HH		U	80	U	WGE	N53190000	53.316667	E157320000	157.533333		W006505 0106	U					U		I	199813
MK	5	US	1	29	KENZY	KZ	0360	344000K	T		MH		U	U	WGE	WGE	N39131488	39.220800	W094335159	-94.564331		E002545 0106	U					U	KMKC	I	200204
MK	5	US	2	55	CAPPY	KZ	0308	410000K	T		MH		U	U	WGE	WGE	N42502281	42.839669	W087544603	-87.912786		W003048 0106	00678					U	KMKE	I	200204
MK	5	US	3	26	MUSKO	KZ	0308	219000K	L		MH		U	U	WGE	WGE	N43071611	43.121142	W086100662	-86.168506		W004406 0106	U					U	KMKG	I	200204
MK	5	US	4	47	MERSY	KZ	0408	394000K	T		MH		U	U	WGE	WGE	N35305683	35.515786	W088572506	-88.956961		W000565 0106	U					U	KMKL	I	200307
MK	5	US	5	51	SUZZE	KZ	0358	335000K	T		MH		U	U	WGE	WGE	N36551258	36.920161	W081143585	-81.243292		W007076 0106	02540					U		I	200305
MKA	3	GR	1		MIKRA	LG	0322		B	100X	L	040/25	U	25	WGE	WGE	N40310300	40.517500	E022583600	22.976667		E003250 0106	00022					U	LGTS	I	200413
MKA	5	BM	1		MYITKYINA WEST	VY	0555	410000K	B		H		U	50	WGE	WGE	N25210250	25.350694	E097164620	97.279500		W000440 0106	U					U	VYNP	I	200307
MKB	4	ID	1		MINANGKABAU	WI	0921	114700M	B	094X	HA		U	U	WGE	WGE	S00471320	-0.787000	E100164160	100.278222		W000184 0106	00016					U	WIPT	I	200507
MKE	4	ID	1		MERAUKE	WA	1097	115800M	B	105X	HA		U	U	WGE	WGE	S08312139	-8.522608	E140250160	140.417111	E00310798	E004484 0106	00010					U	WAKK	I	200204
MKE	4	JA	1		MUKAWA	RJ	0292	116400M	L	111X	T		200	U	WGE	WGE	N42331802	42.555006	E141572027	141.955631	W00901104	W008551 0106	00094					U	RJCC	I	200413
MKG	2	US	1	26	MUSKEGON	KZ	0308	115200M	L	099X	L		U	U	WGE	WGE	N43100931	43.169253	W086022150	-86.039306	W00100188	W004481 0106	00660					U	KMKG	I	200204
MKG	3	TW	1		MAGONG	RC	0613		B	094X	L		100	40	WGE	WGE	N23334200	23.561667	E119374000	119.627778	W00301104	W003097 0106	00103					U	RCQC	I	200413
MKG	4	TW	1		MAGONG	RC	0613	115200M	B	099X	HA		100	100	WGE	WGE	N23354360	23.595444	E119381420	119.637278	W00200798	W003102 0106	00122					U	RCQC	I	200313
MKK	2	US	1	15	MOLOKAI	PH	0599	116100M	B	108X	HA		U	U	WGE	WGE	N21081715	21.138097	W157100266	-157.167406	E01100192	E009595 0106	01421					U	PHMK	I	200204
MKL	4	US	1	47	MC KELLAR	KM	0408	112000M	T	057X	T		U	U	WGE	WGE	N35361283	35.603564	W088543755	-88.910431	E00200180	W000594 0106	00410					U	KMKL	I	200307
