SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE
MOA US 01868		M	PHELPS A MOA, NC	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	128.525 M	275.7   M	L	018000AMSL	06000AMSL	MON-FRI 1100-0500Z++ SAT-SUN	VFR-IFR	200505
MOA US 01869		M	PHELPS B MOA, NC	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	128.525 M	275.7   M	L	018000AMSL	10000AMSL	MON-FRI 1100-0500Z++ SAT-SUN	VFR-IFR	200505
MOA US 01870		M	PHELPS C MOA, NC	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	128.525 M	275.7   M	L	018000AMSL	15000AMSL	MON-FRI 1100-0500Z++ SAT-SUN	VFR-IFR	200505
MOA US 01871		M	PICKETT 1 MOA, VA	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	118.75  M	377.1   M	L	006000AMSL	00500AGL	INTMT SR-SS	VFR-IFR	200210
MOA US 01872		M	PICKETT 2 MOA, VA	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	118.75  M	377.1   M	L	010000AMSL	00500AGL	INTMT SR-SS	VFR-IFR	200210
MOA US 01874		M	PICKETT 3 MOA, VA	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	118.75  M	377.1   M	L	010000AMSL	04000AMSL	INTMT SR-SS	VFR-IFR	200210
MOA US 01876		M	PIKE EAST MOA, MI	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	125.475 M	269.45  M	L	018000AMSL	00300AGL	MON-SAT 1200-2300Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01878		M	PIKE WEST MOA, MI	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	125.475 M	269.45  M	L	018000AMSL	06000AMSL	MON-SAT 1200-2300Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01880		M	PINE HILL EAST MOA, MS	KZTL	FAA, ATLANTA ARTCC	WGE	WGE	ATLANTA CENTER	132.25  M	297.4   M	L	018000AMSL	10000AMSL	MON-FRI 1300-0500Z++ SAT 1400-2100Z++	VFR-IFR	200505
MOA US 01882		M	PINE HILL WEST MOA, MS	KZTL	FAA, ATLANTA ARTCC	WGE	WGE	ATLANTA CENTER	132.25  M	297.4   M	L	018000AMSL	10000AMSL	MON-FRI 1300-0500Z++ SAT 1400-2100Z++	VFR-IFR	200505
MOA US 01884		M	PINON CANYON MOA, CO	KZDV	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	128.3   M	379.95  M	L	010000AMSL	00100AGL	INTMT BY NOTAM	VFR-IFR	200407
MOA US 01886		M	POINSETT MOA, SC	KZSC	USAF, SHAW APP CON	WGE	WGE	SHAW APPROACH	118.85  M	358.3   M	L	002500AMSL	00300AGL	MON-FRI 1100-0500Z++ SAT 1300-2100Z++	VFR-IFR	200210
MOA US 01888		M	POINSETT MOA, SC (XA)	KZSC	USAF, SHAW APP CON	WGE	WGE	SHAW APPROACH	118.85  M	358.3   M	L	002500AMSL	01501AGL	MON-FRI 1100-0500Z++ SAT 1300-2100Z++	VFR-IFR	200210
MOA US 01890		M	POINSETT MOA, SC (XB)	KZSC	USAF, SHAW APP CON	WGE	WGE	SHAW APPROACH	118.85  M	358.3   M	L	002500AMSL	01501AGL	MON-FRI 1100-0500Z++ SAT 1300-2100Z++	VFR-IFR	200210
MOA US 01892		M	PORTERVILLE MOA, CA	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	127.1   M	317.7   M	L	018000AMSL	02000AGL	INTMT BY NOTAM	VFR-IFR	200608
MOA US 01894		M	POWDER RIVER A MOA, MT	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CITY CNTR	126.85  M	305.2   M	L	018000AMSL	SURFACE	MON-FRI 1500-0100Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01896		M	POWDER RIVER A MOA, MT (XA)	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CITY CNTR	126.85  M	305.2   M	L	018000AMSL	01501AGL	MON-FRI 1500-0100Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01898		M	POWDER RIVER A MOA, MT (XB)	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CITY CNTR	126.85  M	305.2   M	L	018000AMSL	01501AGL	MON-FRI 1500-0100Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01902		M	POWDER RIVER A MOA, MT (XC)	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CITY CNTR	126.85  M	305.2   M	L	018000AMSL	01501AGL	MON-FRI 1500-0100Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01904		M	POWDER RIVER A MOA, MT( XD)	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CITY CNTR	126.85  M	305.2   M	L	018000AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 01906		M	POWDER RIVER B MOA, WY	KZDV	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	127.95  M	338.2   M	L	018000AMSL	01000AGL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 01908		M	POWDER RIVER B MOA, WY (XA)	KZDV	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	127.95  M	338.2   M	L	018000AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 01910		M	POWDER RIVER B MOA, WY (XB)	KZDV	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	127.95  M	338.2   M	L	018000AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 01912		M	POWDER RIVER B MOA, WY (XC)	KZDV	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	127.95  M	338.2   M	L	018000AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 01914		M	POWDER RIVER B MOA, WY (XD)	KZDV	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	127.95  M	338.2   M	L	018000AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 01916		M	POWERS MOA, ND	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	127.6   M	279.6   M	L	018000AMSL	12000AMSL	BY NOTAM	VFR-IFR	200505
MOA US 01918		M	PRUITT A MOA, IL	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	127.27  M	327.7   M	L	006000AMSL	00500AGL	1500-1800Z++ AND 1900-0200Z++ SUN-SAT	VFR-IFR	200407
MOA US 01920		M	PRUITT A MOA, IL (XA)	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	127.27  M	327.7   M	L	006000AMSL	01501AGL	1500-1800Z++ AND 1900-0200Z++ SUN-SAT	VFR-IFR	200407
MOA US 01922		M	PRUITT A MOA, IL (XB)	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	127.27  M	327.7   M	L	006000AMSL	01501AGL	1500-1800Z++ AND 1900-0200Z++ SUN-SAT	VFR-IFR	200407
MOA US 01924		M	PRUITT A MOA, IL (XC)	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	127.27  M	327.7   M	L	006000AMSL	01501AGL	1500-1800Z++ AND 1900-0200Z++ SUN-SAT	VFR-IFR	200407
MOA US 01926		M	PRUITT B MOA, IL	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	127.27  M	327.7   M	L	003000AMSL	00500AGL	1500-1800Z++ AND 1900-0200Z++ SUN-SAT	VFR-IFR	200407
MOA US 01940		M	QUAIL MOA, AZ	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	128.1   M	285.6   M	L	018000AMSL	10000AMSL	MON-FRI 1400-2400Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 01980		M	RAINIER 1 MOA, WA	KZSE	FAA, SEATTLE-TACOMA APP CON	WGE	WGE	SEATTLE APPROACH	120.1   M	126.5   M	L	009000AMSL	02000AMSL	INTMT BY NOTAM CTC FSS	VFR-IFR	200210
MOA US 01982		M	RAINIER 2 MOA, WA	KZSE	FAA, SEATTLE-TACOMA APP CON	WGE	WGE	SEATTLE APPROACH	120.1   M	126.5   M	L	009000AMSL	02000AMSL	INTMT BY NOTAM CTC FSS	VFR-IFR	200210
MOA US 01984		M	RAINIER 3 MOA, WA	KZSE	FAA, SEATTLE-TACOMA APP CON	WGE	WGE	SEATTLE APPROACH	120.1   M	126.5   M	L	009000AMSL	02000AMSL	INTMT BY NOTAM CTC FSS	VFR-IFR	200210
MOA US 01986		M	RANCH MOA, NV	KZOA	FAA, OAKLAND ARTCC	WGE	WGE	OAKLAND CENTER	128.8   M	285.5   M	L	009000AMSL	00500AMSL	MON-FRI 1515-0445Z++ SAT 1600-2400Z++	VFR-IFR	200210
MOA US 01988		M	RANCH HIGH MOA, NV	KZOA	FAA, OAKLAND ARTCC	WGE	WGE	OAKLAND CENTER	128.8   M	285.5   M	L	013000AMSL	09000AMSL	MON-FRI 1515-0445Z++ SAT 1600-2400Z++	VFR-IFR	200210
MOA US 01990		M	RANDOLPH 1A MOA, TX	KZHU	FAA, HOUSTON ARTCC	WGE	WGE	HOUSTON CENTER	124.2   M	269.4   M	L	018000AMSL	08000AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 01992		M	RANDOLPH 1B MOA, TX	KZHU	FAA, SAN ANTONIO TRACON	WGE	WGE	SAN ANTONIO APPROACH	128.05  M	318.1   M	L	018000AMSL	07000AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 01994		M	RANDOLPH 2A MOA, TX	KZHU	FAA, HOUSTON ARTCC	WGE	WGE	HOUSTON CENTER	124.2   M	269.4   M	L	018000AMSL	09000AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 01996		M	RANDOLPH 2B MOA, TX	KZHU	FAA, HOUSTON ARTCC	WGE	WGE	HOUSTON CENTER	124.2   M	269.4   M	L	018000AMSL	14000AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 01998		M	RED HILLS MOA, IN	KZID	FAA, INDIANAPOLIS ARTCC	WGE	WGE	INDIANAPOLIS CENTER	132.2   M	128.3   M	L	018000AMSL	06000AMSL	MON-SUN 1400-0400Z++	VFR-IFR	200505
MOA US 02004		M	RENO MOA, NV	KZOA	FAA, OAKLAND ARTCC	WGE	WGE	OAKLAND CENTER	128.8   M	285.5   M	L	018000AMSL	13000AMSL	TUE-SAT 1800-0200Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02006		M	RESERVE MOA, AZ	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	134.45  M	285.5   M	L	018000AMSL	05000AGL	BY NOTAM	VFR-IFR	200505
MOA US 02007		M	RILEY MOA, KS	KFRI	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	127.35  M	288.80  M	L	FL180	07000AMSL	INTMT BY NOTAM	VFR-IFR	200507
MOA US 02008		M	REVEILLE NORTH MOA, NV	KLSV	FAA, SALT LAKE CITY ARTCC	WGE	WGE	NELLIS CONTROL	124.45  M	126.95  M	L	018000AMSL	00100AGL	WKDAY 1530-0300Z++ OT BY NOTAM	VFR-IFR	200606
MOA US 02009		M	REVEILLE SOUTH MOA, NV	KLSV	FAA, SALT LAKE CITY ARTCC	WGE	WGE	NELLIS CONTROL	124.45  M	126.95  M	L	018000AMSL	00100AGL	WKDAY 1530-0300Z++ OT BY NOTAM	VFR-IFR	200606
MOA US 02010		M	RIVERS MOA, OK	KZFW	FAA, FORT WORTH ARTCC	WGE	WGE	FORT WORTH CENTER	124.87  M	307.2   M	L	018000AMSL	08000AMSL	MON-FRI 1500-0300Z++ WEEKEND BY NOTAM	VFR-IFR	200513
MOA US 02012		M	ROBERTS MOA, CA	KZOA	FAA, OAKLAND ARTCC	WGE	WGE	OAKLAND CENTER	128.7   M	307.0   M	L	014999AMSL	00500AGL	INTMT BY NOTAM	VFR-IFR	200210
MOA US 02016		M	ROOSEVELT A MOA, WA	KZSE	FAA, SEATTLE ARTCC	WGE	WGE	SEATTLE CENTER	126.1   M	291.6   M	L	018000AMSL	09000AMSL	INTMT BY NOTAM CTC FSS	VFR-IFR	200505
MOA US 02018		M	ROOSEVELT B MOA, WA	KZSE	FAA, SEATTLE ARTCC	WGE	WGE	SEATTLE CENTER	126.1   M	291.6   M	L	008999AMSL	00300AGL	INTMT BY NOTAM CTC FSS	VFR-IFR	200210
MOA US 02020		M	ROOSEVELT B MOA, WA (XA)	KZSE	FAA, SEATTLE ARTCC	WGE	WGE	SEATTLE CENTER	126.1   M	291.6   M	L	008999AMSL	01501AGL	INTMT BY NOTAM CTC FSS	VFR-IFR	200210
MOA US 02022		M	ROSE HILL MOA, AL	KZJX	FAA, JACKSONVILLE ARTCC	WGE	WGE	JAX CENTER	134.3   M	353.5   M	L	018000AMSL	08000AMSL	MON-FRI 1200-0600Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02024		M	RUBY 1 MOA, AZ	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	125.4   M	327.15  M	L	018000AMSL	10000AMSL	MON-FRI 1300-0200Z OT BY NOTAM	VFR-IFR	200505
MOA US 02040		M	SADDLE A MOA, OR	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CENTER	128.05  M	387.15  M	L	018000AMSL	10000AMSL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 02042		M	SADDLE B MOA, OR	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CENTER	128.05  M	387.15  M	L	018000AMSL	08000AMSL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 02044		M	SALEM MOA, MO	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	133.4   M	323.1   M	L	006999AMSL	SURFACE	INTMT BY NOTAM	VFR-IFR	200407
MOA US 02046		M	SALEM MOA, MO (XA)	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	133.4   M	323.1   M	L	006999AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200407
MOA US 02048		M	SALEM MOA, MO (XB)	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	133.4   M	323.1   M	L	006999AMSL	01501AGL	INTMT BY NOTAM	VFR-IFR	200407
MOA US 02050		M	SALINE MOA, CA	KZLA	FAA, HI-DESERT TRACON, EDWARDS AFB	WGE	WGE	OAKLAND CENTER	125.75  M	319.8   M	L	018000AMSL	00200AGL	MON-FRI 1400-0600Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02052		M	SALINE MOA, CA (XA)	KZLA	FAA, HI-DESERT TRACON, EDWARDS AFB	WGE	WGE	OAKLAND CENTER	125.75  M	319.8   M	L	018000AMSL	03001AMSL	MON-FRI 1400-0600Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02060		M	SELLS 1 MOA, AZ	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	125.4   M	307.3   M	L	018000AMSL	10000AMSL	MON-FRI 1300-0200Z OT BY NOTAM	VFR-IFR	200505
MOA US 02062		M	SELLS LOW MOA, AZ	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	125.25  M	307.30  M	L	009999AMSL	03000AGL	MON-FRI 1300-0200Z OT BY NOTAM	VFR-IFR	200411
MOA US 02064		M	SEVIER A MOA, UT	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CENTER	133.45  M	133.9   M	L	014500AMSL	00100AGL	MON-SAT 1200-0300Z++ OT BY NOTAM	VFR-IFR	200407
MOA US 02066		M	SEVIER B MOA, UT	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CENTER	133.45  M	133.9   M	L	009500AMSL	00100AGL	MON-SAT 1200-0300Z++ OT BY NOTAM	VFR-IFR	200407
MOA US 02068		M	SEVIER C MOA, NV	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CENTER	133.45  M	133.9   M	L	018000AMSL	14500AMSL	BY NOTAM 6 HR IN ADVANCE	VFR-IFR	200505
MOA US 02070		M	SEVIER D MOA, UT	KZLC	FAA, SALT LAKE CITY ARTCC	WGE	WGE	SALT LAKE CENTER	133.45  M	133.9   M	L	018000AMSL	09500AMSL	BY NOTAM 6 HR IN ADVANCE	VFR-IFR	200505
MOA US 02072		M	SEYMOUR JOHNSON ECHO MOA, NC	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	133.85  M	288.05  M	L	018000AMSL	07000AMSL	MON-FRI 1100-0100Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02080		M	SHEPPARD 1 MOA, TX	KZFW	FAA, FORT WORTH ARTCC	WGE	WGE	FORT WORTH CENTER	133.5   M	350.35  M	L	018000AMSL	08000AMSL	MON-FRI 1 HR PRIOR SR-1 HR AFTER SS	VFR-IFR	200505
MOA US 02082		M	SHEPPARD 2 MOA, TX	KZFW	FAA, FORT WORTH ARTCC	WGE	WGE	FORT WORTH CENTER	133.5   M	350.35  M	L	018000AMSL	08000AMSL	MON-FRI 1 HR PRIOR SR-1 HR AFTER SS	VFR-IFR	200505
MOA US 02084		M	SHIRLEY 1 MOA, AR	KZME	FAA, MEMPHIS ARTCC	WGE	WGE	MEMPHIS CENTER	132.3   M	348.7   M	L	018000AMSL	10000AMSL	INTMT BY NOTAM	VFR-IFR	200505
MOA US 02086		M	SHOSHONE MOA, CA	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	132.5   M	284.7   M	L	018000AMSL	03001AGL	MON-FRI 1400-0600Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02088		M	SHOSHONE MOA, CA (XA)	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	132.5   M	284.7   M	L	003000AGL	00200AGL	MON-FRI 1400-0600Z++ OT BY NOTAM	VFR-IFR	200210
MOA US 02090		M	SHOSHONE MOA, CA (XB)	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	132.5   M	284.7   M	L	018000AMSL	01501AGL	MON-FRI 1400-0600Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02092		M	SILVER MOA NORTH, CA	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	134.65  M	284.7   M	L	007000AMSL	00200AGL	INTMT BY NOTAM	VFR-IFR	200610
MOA US 02093		M	SILVER MOA NORTH, CA (XA)	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	134.65  M	284.7   M	L	003000AGL	SURFACE	INTMT BY NOTAM	VFR-IFR	200610
MOA US 02094		M	SILVER MOA SOUTH, CA	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CNTR	134.65  M		L	007000AMSL	00200AGL	INTMT BY NOTAM	VFR-IFR	200610
MOA US 02095		M	SMOKY MOA, KS	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	134.9   M	363.2   M	L	004999AMSL	00500AGL	MON-SAT 1500-2300Z++ OT BY NOTAM	VFR-IFR	200407
MOA US 02096		M	SMOKY HIGH MOA, KS	KZKC	FAA, KANSAS CITY ARTCC	WGE	WGE	KANSAS CITY CENTER	134.9   M	363.2   M	L	018000AMSL	05000AMSL	MON-SAT 1500-2300Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02100		M	SNOOPY EAST MOA, MN	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	127.9   M	281.45  M	L	018000AMSL	00300AGL	INTMT MON-SAT 1600-0400Z++ BY NOTAM	VFR-IFR	200505
MOA US 02102		M	SNOOPY EAST MOA, MN (XA)	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	127.9   M	281.45  M	L	018000AMSL	06001AMSL	INTMT MON-SAT 1600-0400Z++ BY NOTAM	VFR-IFR	200505
MOA US 02104		M	SNOOPY WEST MOA, MN	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	127.9   M	281.45  M	L	018000AMSL	06000AMSL	INTMT MON-SAT 1600-0400Z++ BY NOTAM	VFR-IFR	200505
MOA US 02106		M	SNOWBIRD MOA, TN	KZTL	FAA, ATLANTA ARTCC	WGE	WGE	ATLANTA CENTER	127.55  M	269.5   M	L	018000AMSL	11000AMSL	INTMT 1300-0200Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02108		M	STEELHEAD MOA, MI	KZOB	FAA, CLEVELAND ARTCC	WGE	WGE	CLEVELAND CENTER	127.7   M	118.05  M	L	018000AMSL	06000AMSL	MON-SAT 1300-2400Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02110		M	STONY A MOA, AK	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	00100AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02111		M	STONY A MOA, AK (XA)	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	01501AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02112		M	STONY B MOA, AK	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	02000AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02113		M	STONY B MOA, AK (XA)	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	01501AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02114		M	STONY B MOA, AK (XB)	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	01501AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02115		M	STONY B MOA, AK (XC)	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	01501AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02116		M	STONY B MOA, AK (XD)	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	133.7   M	279.6   M	L	018000AMSL	01501AGL	MON-FRI 1700-0300Z++ OT CTC FSS	VFR-IFR	200505
MOA US 02118		M	STUMPY POINT MOA, NC	KZDC	FAA, WASHINGTON, DC ARTCC	WGE	WGE	WASHINGTON CENTER	128.525 M	275.7   M	L	007999AMSL	SURFACE	INTMT MON-FRI SR-0400Z++ OT BY NOTAM	VFR-IFR	200210
MOA US 02119		M	SUNDANCE MOA, CA	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	128.15  M	285.6   M	L	010000AMSL	00500AGL	BY NOTAM	VFR-IFR	200210
MOA US 02120		M	SUNDANCE MOA, CA (XA)	KZLA	FAA, LOS ANGELES ARTCC	WGE	WGE	LOS ANGELES CENTER	128.15  M	285.6   M	L	010000AMSL	01501AGL	BY NOTAM	VFR-IFR	200210
MOA US 02121		M	SUNNY MOA, AZ	KZAB	FAA, DENVER ARTCC	WGE	WGE	DENVER CENTER	127.55  M	256.875 M	L	018000AMSL	12000AMSL	BY NOTAM 24 HR IN ADVANCE	VFR-IFR	200505
MOA US 02122		M	SUSITNA MOA, AK	PAZA	FAA, ANCHORAGE ARTCC	WGE	WGE	ANCHORAGE CENTER	125.55  M	254.3   M	L	018000AMSL	10000AMSL	INTMT MON-FRI 1700-0300Z++ OT BY NOTAM	VFR-IFR	200505
MOA US 02124		M	SYRACUSE 1 MOA, NY	KZBW	USA, WHEELER SACK APPROACH	WGE	WGE	WHEELER SACK APP	128.25  M	299.85  M	L	005999AMSL	00100AGL	TUE-SAT SR-SS OT BY NOTAM	VFR-IFR	200407
MOA US 02126		M	SYRACUSE 2A MOA, NY	KZBW	USA, WHEELER SACK APPROACH	WGE	WGE	WHEELER SACK APP	128.25  M	299.85  M	L	005999AMSL	00100AGL	TUE-SAT SR-SS OT BY NOTAM	VFR-IFR	200407
MOA US 02127		M	SYRACUSE 2B MOA, NY	KZBW	USA, WHEELER SACK APPROACH	WGE	WGE	WHEELER SACK APP	128.25  M	299.85  M	L	005999AMSL	00100AGL	TUE-SAT SR-SS OT BY NOTAM	VFR-IFR	200407
MOA US 02128		M	SYRACUSE 3 MOA, NY	KZBW	USA, WHEELER SACK APPROACH	WGE	WGE	WHEELER SACK APP	128.25  M	299.85  M	L	005999AMSL	00100AGL	TUE-SAT SR-SS OT BY NOTAM	VFR-IFR	200407
MOA US 02130		M	SYRACUSE 4 MOA, NY	KZBW	USA, WHEELER SACK APPROACH	WGE	WGE	WHEELER SACK APP	128.25  M	299.85  M	L	003000AMSL	00100AGL	TUE-SAT SR-SS OT BY NOTAM	VFR-IFR	200407
MOA US 02150		M	TAIBAN MOA, NM	KABQ	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	127.85  M	351.7   M	L	010999AMSL	00500AGL	MON-FRI 1500-0700Z++ OT BY NOTAM	VFR-IFR	200210
MOA US 02151		M	TALON EAST HIGH MOA, NM	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	132.55  M	343.6   M	L	018000AMSL	12500AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 02152		M	TALON WEST HIGH MOA, NM	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	132.55  M	343.6   M	L	018000AMSL	12500AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 02153		M	TALON LOW MOA, NM	KZAB	FAA, ALBUQUERQUE ARTCC	WGE	WGE	ALBUQUERQUE CENTER	132.55  M	343.6   M	L	012499AMSL	00300AGL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200210
MOA US 02154		M	TEXON MOA, TX	KZHU	FAA, HOUSTON ARTCC	WGE	WGE	HOUSTON CENTER	125.75  M	346.4   M	L	018000AMSL	06000AMSL	MON-FRI SR-SS OT BY NOTAM	VFR-IFR	200505
MOA US 02156		M	TIGER NORTH MOA, ND	KZMP	FAA, MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CENTER	132.15  M	269.6   M	L	018000AMSL	00300AGL	INTMT BY NOTAM	VFR-IFR	200505
